#,大分類,中分類,小分類,説明,ファイル/参照,状態,Phase,V1差分,精度影響,備考
■ Opus構造化抽出（レイヤー1）,,,,,,,,,,
1,Opus構造化,モデル選択,Opus 4.6採用,Sonnetでは暗黙ニーズ推論が弱い。日本語婉曲表現の読取にOpusの高度文脈理解が必要。MT1回きり分析でコスト許容。月$300-450(1000人),SCORING_V2 §1.1,確定,2,変更,+5点,V1:Sonnet$44→V2:Opus$300-450
2,Opus構造化,プロンプト設計,explicit/implicitフラグ,各ニーズ・オファーに「明示的/推論」フラグ。explicit:trueは即使用。implicit:falseはconfidence低減だがweight下限1.0保証+confidence下限0.5保証,新規設計,確定,2,新規,+3点,implicit needの過小評価を防止
3,Opus構造化,プロンプト設計,signals検出,推論根拠を構造化。同トピック2回言及→重要/具体的数字→高信頼/質問の具体性→ニーズvs社交辞令/発言の長さ→関心度,新規設計,確定,2,新規,+2点,Opusの推論をトレース可能に
4,Opus構造化,プロンプト設計,日本語婉曲対策,「ちょっと気になって」→重要課題/「もしよかったら」→明確ニーズ/「まあ一応」→謙遜=実績/「いいですよね」→社交辞令。プロンプトに明示,新規設計,確定,2,新規,+2点,日本語ビジネス会話特有
5,Opus構造化,プロンプト設計,conversation_dynamics,rapport(信頼関係)/information_asymmetry(情報非対称)/unspoken_tensions(回避トピック)/follow_up_potential(次のアクション有無),新規設計,確定,2,新規,+1点,ペア間会話品質をスコア補正に使用
6,Opus構造化,プロンプト設計,solver_profile,各ニーズに「このニーズに応えられる人はどういう人か」を自然言語で詳細記述。Haiku判定の入力精度を劇的に向上。embedding化時にオファーと同空間で比較可能,新規設計,確定,2,新規,+3-5点,精度向上の核心。カテゴリの壁を超える
7,Opus構造化,プロンプト設計,beneficiary_profile,各オファーに「このオファーが役立つ人はどういう人か」を自然言語で詳細記述。solver_profileとクロスマッチでカテゴリ横断の解決関係を捕捉,新規設計,確定,2,新規,+3-5点,solver_profileと対になる設計
8,Opus構造化,プロンプト設計,日英バイリンガル,各テキストを日本語+英語で出力。Phase3 embedding化時に英語版使用(英語embeddingモデルが成熟),新規設計,確定,3,新規,Phase3用,Phase2では日本語のみ
9,Opus構造化,出力構造,needs,"text/explicit/confidence/evidence[]/signals[]/solver_profile/urgency_signals[]/category/subcategory。V1の{text,cat,subcat,conf}から大幅拡張",§1.1拡張,確定,2,変更,,categoryは残すが将来廃止前提
10,Opus構造化,出力構造,offers,"text/explicit/confidence/evidence[]/signals[]/beneficiary_profile/credibility(""実績""/""自己申告""/""推論"")/category/subcategory",§1.1拡張,確定,2,変更,,credibilityでオファー信頼性を段階評価
11,Opus構造化,出力構造,topic_depth/engagement_behaviors/evidence_quotes/key_statements,"topic:{topic,category,depth}[]/engagement:5つのbool/evidence:{field,index,quote}[]/key_statements:string[]",§1.1,確定,2,新規,,V2設計書のまま
12,Opus構造化,品質対策,tl;dv文字起こし品質,話者分離エラー対策:矛盾検出→confidence低下+フラグ。スペース正規化。固有名詞誤認識はevidence_quotesで検証可能,新規設計,確定,2,新規,+1点,全アーキテクチャの最上流リスク
13,Opus構造化,品質対策,バリデーション+フォールバック,Zodスキーマで必須フィールド/テキスト長/confidence範囲チェック。失敗→再試行→フォールバックプロンプト。モデル更新時の出力変化も検出,新規設計,確定,2,新規,,Opus依存リスクの緩和
14,Opus構造化,品質対策,会議品質重み,meeting_type(5種)×durationでconfidence係数。10分雑談→全体0.5-0.7。60分深い議論→1.0。集約時にweightに反映,新規設計,確定,2,新規,+1点,短時間会議の過大評価を防止
15,Opus構造化,コスト,月間見積もり,1000人×月3回=3000分析。$0.10-0.15/回。solver/beneficiary_profile追加で+$30-50。合計月$330-500。max_tokens:3000,§4-7,確定,2,変更,,V1:$44→V2:$330-500
■ 集約エンジン（レイヤー1.5）,,,,,,,,,,
16,集約,複数MT統合,基本ロジック,同一ユーザーの複数MT分析結果を統合。explicit即統合、implicit confidence累積。user_conversation_vectorsに書込,§8,確定,2,変更,,member_ai_profiles_v2と並行書込
17,集約,複数MT統合,Haiku重複判定,既存ニーズ一覧と新規抽出を比較し同一/新規を判定。「エンジニア採用」vs「CTO探し」の区別にLLM必要。月$5-10,新規設計,確定,2,新規,+2点,embedding距離では不十分
18,集約,時間軸管理,ニーズdecay,last_mentionedフィールド。3ヶ月言及なしでweight半減。明示的「解決済み」言及→即除去。/settings/ai-profileで手動も可,新規設計,確定,2,新規,+1点,古いニーズ残存問題を解消
19,集約,時間軸管理,urgency推定,複数MTでの言及頻度。3回中3回→high/3回中1回→low。単一MT推論より精度高,新規設計,確定,2,新規,+1点,
20,集約,低参加者,聞き専対策,participation_rate低→/settings/ai-profileで「関連トピック」任意選択可能。沈黙≠無関心,新規設計,確定,2,新規,,
■ Haiku LLM判定（レイヤー4）★精度+10点の核心,,,,,,,,,,
21,Haiku判定,設計思想,カテゴリの壁を超える,カテゴリベースでは「マーケ分析ニーズ×データ基盤オファー」=0.0。Haikuは「因果的に解決可能か」を判定→0.58-0.82。精度70→80点の原動力,新規設計,確定,2,新規,+10点,月$110-130の追加コスト
22,Haiku判定,入力設計,4テキストクロスマッチ,need.text×offer.text / solver_profile×offer.text / need.text×beneficiary_profile / solver_profile×beneficiary_profileの4組の最大値,新規設計,確定,2,新規,,solver/beneficiary_profileが精度を決定
23,Haiku判定,出力設計,2軸判定（将来）,Phase2: score(0-1)+reason(15字)の1軸。Phase3: 直接性(0-1)+確実性(0-1)の2軸。間接的価値の評価がさらに精緻化,新規設計,確定,2-3,新規,+1-2点,Phase3で追加。出力+20トークン程度
24,Haiku判定,適用範囲,上位候補のみ,全100万ペアではなく、カテゴリベースorembeddingで上位50件に絞った後のリランキングに使用。コスト250回/ユーザー,新規設計,確定,2,新規,,全ペアLLM判定はコスト破綻
25,Haiku判定,バッチ処理,非同期+キャッシュ,差分更新:staleなペアのみ再判定。バッチAPI(50%off)+プロンプトキャッシュ(90%off)。結果はmatching_scores_v4にキャッシュ。夜間バッチ,新規設計,確定,2,新規,,レイテンシ問題なし
26,Haiku判定,コスト,月間見積もり,日50人再計算×250回×$0.00065=月$243。バッチ50%off→$122。キャッシュ併用→$110-130/月,新規設計,確定,2,新規,,
■ スコアリングモデル（5次元+動的重み+ブースト）,,,,,,,,,,
27,モデル,5次元,概要,need_offer(Haiku判定)+reverse_match+expertise_fit+topic_alignment+engagement_value。V1の2軸を完全置換,§2.1,確定,2,新規,,
