#,項目,詳細,仕様・ロジック,状態,Phase,備考
LP設計,,,,,,
1-01,LP構成,ヒーロー→実績→仕組み→料金→CTA,"コピー:「次の一手は、まだ出会っていない人が持っている。」
数値実績+セキュリティバッジ+対応ロゴ(Zoom/Meet/Teams)
BYOB訴求:「tl;dv,Notta,Otterのデータも取り込めます」",設計中,1,
,,,,,,
★料金設計,,,,,,
1-02,★料金体系,"200名まで無料→201人目から月額¥30,000","━━ 料金モデル ━━

無料枠: メンバー200名まで無料（機能制限なし）
有料: 201名以上は月額¥30,000（税別）
初月: 2ヶ月分一括（¥60,000）
2ヶ月目以降: ¥30,000/月自動更新
解約: いつでも可能。当月末まで利用可

★無料枠の意図:
- 200名で「AIマッチングが本当に価値を生むか」を完全検証できる
- 運営者が「お金を払う前に成功事例を作れる」
- 201人目を招待したくなった時点で価値を実感済み

既存ベータ200名: 1年間無料（登録日から起算）
1年後: 有料プランへ自動移行（30日前に通知）",設計中,1,200名で十分に回るサービスであることが前提
1-03,★LP料金セクション,シンプルな表示,"━━━━━━━━━━━━
200名まで: 無料
201名から: 月額¥30,000
━━━━━━━━━━━━
全機能利用可能 / いつでも解約OK
初月のみ2ヶ月分のお支払い

CTA:「無料で始める」→ /register

★FAQ:
Q: 200名を超えたらどうなる？
A: 201人目の招待時にプラン選択画面が表示されます
Q: 途中で200名以下になったら？
A: 次月から無料に戻ります",設計中,1,
,,,,,,
認証+オンボーディング,,,,,,
1-04,認証,LinkedIn OAuth主軸+Facebook副次+招待制ガード,"LinkedIn: name/company/position/avatar自動取得
invitation_codesテーブル",設計中,1,
1-05,Step1: 基本情報確認,OAuth情報の確認のみ,プリフィルUI。入力ではなく確認。「約2分で完了」表示,設計中,1,
1-06,★Step2: 目的+提供,goals(6種)+offerings(6種)カード選択,"①事業提携②経営相談③投資④採用⑤情報交換⑥メンタリング

★変更: スキップ不可→最低1つずつ選択必須
理由: goals/offeringsが空だとマッチングの核心(目的交差)が機能しない
3秒で1つ選ぶだけ。それすらやらない人は価値を得られない

★ただし面談Haiku抽出(1-11)でプリセットされている場合:
確認画面(1-13)の確定で自動的にgoals/offerings登録済み
→この画面自体がスキップされる",設計中,1,★goals空=マッチング崩壊。必須化が必須
1-07,★Step3: データ連携,Calendar同期 or BYOB設定,"①Google Calendar→Recall.ai自動Bot
②tl;dv/Notta/OtterのWebhook URL発行
③後で設定",設計中,2,
,,,,,,
★成熟度モデル,,,,,,
1-08,★3段階成熟度,Lv1→Lv2→Lv3,"Lv1(0回):属性+目的交差のみ α=[0.70,0.20,0,0.10]
Lv2(1-4回):+会話スコア α=[0.25,0.20,0.40,0.15]
Lv3(5回+):全層稼働 α=[0.10,0.15,0.45,0.30]
「あと{n}回で精度UP」プログレスバー",設計中,1,
,,,,,,
★コールドスタート設計,,,,,,
